1:[152.5233  147.79443 358.425  ],[208.68835  86.09162 241.5987 ],[230.05742  119.737595 224.13472 ],[224.72983 131.18463 245.14032],[216.28513 127.93371 262.42294],[177.1322   94.03918 203.7454 ],[191.74278  78.19069 165.94281],[202.77997  71.22298 145.19951],[213.8639   68.20048 129.43303],[143.59935  111.288376 196.69434 ],[145.02635  96.3197  155.8583 ],[148.80836  91.56779 132.11449],[153.56352   89.64441  113.292694],[108.77029 143.14755 192.51152],[103.76383 147.22719 160.14061],[101.227036 150.18852  143.0805  ],[ 99.45105 152.80318 130.98666],[203.21558 180.4796  324.77502],[230.05115 188.91385 306.5674 ],[237.23103 194.84799 274.37015],[215.9684  192.66362 255.4921 ]
12:[158.06949 157.54582 381.043  ],[192.92427   59.023415 296.06006 ],[199.4178    24.627277 270.20624 ],[203.02496    4.959532 256.0351  ],[205.32713  -10.159263 243.9234  ],[155.74005   30.102142 304.41333 ],[143.00217    -2.1562424 278.12982  ],[134.22278  -15.835356 259.78705 ],[126.32568  -24.526606 244.20921 ],[122.09167   29.139343 327.4883  ],[111.533646  12.16017  288.8371  ],[103.0956    29.672863 273.91202 ],[103.582565  47.25521  282.34973 ],[ 80.258316  40.31231  346.56027 ],[ 79.83386   21.927145 319.14877 ],[ 76.419655  25.430256 302.34628 ],[ 73.37761   36.494995 297.38956 ],[194.21104 140.74428 329.10538],[214.96574 127.46822 306.39435],[235.43538 112.44324 284.51578],[257.24847 105.61342 267.46307]
13:[171.86748 147.01915 368.739  ],[186.15263  77.11186 242.54594],[189.25037   79.367455 199.19856 ],[191.57452   81.720795 174.91455 ],[193.90451  84.49674 155.74593],[143.64394  77.83003 224.29364],[139.07648   57.539978 186.0689  ],[136.61668   46.235996 164.46281 ],[135.28778   39.306465 146.27527 ],[109.93909  91.76031 232.79085],[ 94.71451  73.11151 196.54013],[ 85.92238   64.061516 175.52943 ],[ 78.68552   57.882133 158.49963 ],[ 75.81439 120.21518 242.59518],[ 58.690254 111.23403  215.84286 ],[ 49.251247 106.518364 201.88148 ],[ 42.677677 103.83637  191.5933  ],[210.08217 173.87164 312.74673],[229.5568  180.13295 286.2074 ],[240.0009  185.02278 254.73618],[249.32285 189.58763 228.17462]
14:[136.70619 169.18729 353.649  ],[107.81836 171.00432 203.58762],[100.14385 174.06384 160.86267],[ 94.67996 176.76718 137.12471],[ 89.16206 180.46364 118.78186],[ 63.96994 154.61642 202.2397 ],[ 42.033463 153.35536  164.67801 ],[ 27.638   152.80739 144.85066],[ 14.82325 152.43016 130.14656],[ 37.970245 142.52298  226.99771 ],[ 16.544304 151.52156  190.20595 ],[  2.8956156 157.44588   170.73112  ],[ -9.012918 163.22043  156.39891 ],[  9.138123 139.26065  262.90662 ],[2.0459938e-01 1.6883171e+02 2.5127353e+02],[ 12.166157 180.80199  255.73288 ],[ 22.935871 182.07672  261.94897 ],[109.235214 208.22308  297.6153  ],[ 98.72712 223.30373 269.59824],[ 68.93305 208.93408 264.18948],[ 43.308662 201.2634   254.29991 ]
15:[167.79431 138.7508  372.492  ],[211.06165  71.01736 252.10114],[232.5559  101.29276 229.40582],[229.19385 115.64205 248.98764],[221.43478 113.94706 266.80603],[178.91011  77.39496 218.72041],[188.65239   60.709538 179.72856 ],[196.06427  51.72768 158.1637 ],[203.7203    45.520462 141.32841 ],[147.3189   94.50972 214.70314],[145.57805  78.79074 174.16226],[145.59952  70.43362 151.12292],[146.56856   64.409966 132.59329 ],[115.23158  125.923004 212.4252  ],[105.12931 122.84546 181.1513 ],[100.836296 122.62783  164.18738 ],[ 98.31369 123.26667 151.96118],[216.43309 162.22957 328.45197],[241.27563 166.37611 306.35092],[251.11719 169.25552 274.4404 ],[236.45343 168.82083 249.9856 ]
16:[161.9495  169.24564 369.298  ],[188.90927 121.9456  234.72824],[202.63684  109.577705 195.3294  ],[209.4253  106.79416 171.94519],[213.93149 108.19137 153.01604],[148.46729 101.41374 224.3451 ],[133.84723  81.84059 188.33363],[123.15581  77.82958 166.6482 ],[113.33794  78.93563 149.82687],[113.64486  95.75246 240.87619],[ 97.60898  103.793976 201.22945 ],[ 97.41536 127.80014 206.16098],[104.12019 131.29561 224.14424],[ 72.058105 102.58273  261.20374 ],[ 66.26513  122.505066 235.53027 ],[ 72.48697 137.87117 241.13599],[ 77.63352 140.01398 252.32407],[141.21066 192.88896 299.99033],[135.28122 200.20016 267.8315 ],[116.98188 195.95932 240.07224],[ 95.03284 180.15866 231.02618]
17:[162.49608 168.9976  340.039  ],[238.87276   99.914215 243.48972 ],[262.06836  91.65566 207.60881],[276.41843  86.72379 188.36288],[288.33224  83.44341 173.26747],[205.84854  66.24213 228.87218],[199.15823  86.64618 191.02255],[189.77191  107.971214 198.62474 ],[187.0683  112.17478 217.48187],[166.6864   55.54029 236.03848],[172.79836   34.704292 198.32663 ],[175.0203    25.593288 175.68362 ],[176.83994   17.828201 157.88016 ],[116.93938   57.365326 240.21375 ],[119.04911   32.448933 218.66597 ],[120.198204  18.874153 207.68156 ],[121.035835   8.977285 200.09196 ],[180.5145  153.16325 274.7031 ],[195.46138 141.42564 247.10562],[203.22205 122.21536 220.7586 ],[206.37582  102.705956 200.1992  ]
18:[161.25479 181.44969 347.621  ],[153.3322   67.38291 276.29205],[151.45673   31.723412 251.42114 ],[153.38898   12.331932 236.55876 ],[156.63406    -2.7280989 224.59064  ],[127.52836  87.0345  227.81287],[120.22264   53.428722 201.14908 ],[117.33945   34.098442 186.36122 ],[116.41609   18.590923 174.56142 ],[110.683   123.08655 209.3309 ],[101.708565 100.56571  173.19296 ],[ 99.07436  87.5903  152.56888],[ 97.20297  76.441   136.6704 ],[102.92234 172.05466 190.44211],[ 92.01119 166.54137 159.78049],[ 89.422905 163.52666  142.73746 ],[ 87.53338 161.1429  130.61314],[179.07814 143.72668 296.6386 ],[185.0609  117.82713 276.23712],[169.66805 124.56467 247.2355 ],[153.65302 144.75899 235.03056]
19:[170.38399 149.40817 369.247  ],[172.86769   54.361008 267.30627 ],[192.86093   63.770668 229.8175  ],[197.50958   86.290504 238.2969  ],[191.5153   90.82372 256.29938],[135.29039   64.758705 238.85684 ],[155.81558  83.85196 205.57256],[157.52971 101.74073 222.23709],[150.90666 100.67212 240.5555 ],[107.82536  89.94368 236.38405],[119.92517 100.72444 195.9978 ],[132.89424 117.67409 208.0463 ],[132.37997  118.866615 227.51125 ],[ 84.438385 129.15837  231.84903 ],[ 76.5986  121.25064 200.77509],[ 73.671295 117.682686 183.89453 ],[ 71.5803   115.013664 171.86308 ],[207.68076 110.64226 334.7726 ],[223.80736  85.87158 318.9882 ],[234.81618  61.54605 298.72733],[244.28995   40.408257 282.0932  ]
20:[138.4313  129.10593 404.436  ],[211.56116   42.369263 340.38617 ],[227.82013   13.403709 312.2735  ],[234.22148     1.8199015 291.64606  ],[238.02951    -5.2002454 273.84753  ],[182.18578    9.266907 331.42505 ],[177.25974    12.1381855 288.28378  ],[171.71718   34.543365 296.52643 ],[172.31342  38.82821 315.54892],[147.45796     2.3726807 336.86594  ],[142.30298    3.686718 293.6759  ],[130.60356   24.903872 289.98688 ],[126.164665  36.376663 305.12762 ],[103.87239    4.588684 333.55545 ],[102.96174     8.8018875 300.82925  ],[104.249985  26.221838 301.89606 ],[105.0859    32.083023 312.90512 ],[171.64302 130.75633 345.0094 ],[193.75833 127.03418 320.1124 ],[216.7989   123.150925 296.08157 ],[239.25616 125.73213 278.6959 ]
21:[133.05402 146.32402 358.508  ],[200.24786  50.86424 291.0087 ],[207.79245  26.36805 255.84201],[209.45624   20.229774 232.17332 ],[209.9521    17.730795 212.83217 ],[164.64642   19.703423 280.197   ],[158.33302  29.50432 238.2713 ],[156.75836  51.62024 248.71448],[158.75552   53.670963 268.01154 ],[126.6644    16.026718 284.9392  ],[119.05998   23.410439 242.73337 ],[114.08471   45.478878 252.1612  ],[115.6942    48.526176 271.3626  ],[ 80.22551   23.655441 282.1952  ],[ 77.886826  21.699535 249.32744 ],[ 76.5721    21.307419 231.88124 ],[ 75.66317   22.165854 219.44385 ],[137.87433 145.65929 283.42297],[146.33337 140.06538 251.48625],[153.65395 130.90512 220.08678],[164.6645  127.30514 194.028  ]
22:[125.15017 143.02327 380.105  ],[166.7472   23.41864 356.14655],[164.08005  -18.135532 343.5047  ],[163.15862  -35.786133 326.52646 ],[162.62332  -47.796547 311.16306 ],[125.43306     1.9197769 343.4561   ],[124.5928      3.9772596 299.99646  ],[122.83392   28.001598 304.5121  ],[122.69876   33.698086 323.1696  ],[ 88.43444   10.273819 339.31104 ],[ 86.297485  10.104353 295.84744 ],[ 81.75142   34.080414 298.11353 ],[ 81.357285  40.93554  316.37338 ],[ 47.136597  29.888039 323.0386  ],[ 45.45911   11.901201 295.41174 ],[ 44.700993    2.4557552 280.69913  ],[ 44.433      -3.5708222 269.75107  ],[177.92117  113.368744 369.15765 ],[204.82852   93.404144 368.69888 ],[227.99751  69.28782 366.4564 ],[248.41048   49.437866 364.8618  ]
23:[164.55432 147.05536 371.706  ],[228.68112  80.77316 264.42337],[249.06192 112.5271  242.74413],[237.90216 129.47968 256.48178],[225.6571  130.1408  271.65387],[200.31555  83.38164 225.11964],[218.05862   62.063705 191.58743 ],[230.24252   51.662544 173.03961 ],[241.4896   44.66913 158.71597],[168.03822  97.17282 215.31749],[174.49323   78.389725 176.59789 ],[179.87292   68.765144 154.71    ],[185.57916   62.003788 137.32341 ],[133.2862   125.227455 206.41734 ],[128.42686 121.10831 174.02902],[125.912476 119.07871  156.82986 ],[124.11511 117.68734 144.5382 ],[218.18825 175.16501 341.4041 ],[246.96933 181.33302 325.39142],[254.61429 182.83185 292.79178],[244.94214 180.58884 266.05844]
24:[174.90611 159.16292 309.963  ],[243.89459 174.56606 172.03693],[240.80472 202.3972  138.72687],[229.8027  224.22415 136.94   ],[220.84283 229.30405 153.50763],[209.6665  151.1232  143.20071],[194.77576 182.43369 116.90246],[185.07294 203.1197  125.76796],[184.74571 204.00917 145.25316],[168.80663 129.96967 146.5739 ],[159.89601 149.41283 108.67609],[149.32275 169.99292 116.7581 ],[149.24757 169.26102 136.25246],[114.55948 118.10265 159.00667],[105.97336  111.74984  127.773605],[100.74249 107.87974 111.52821],[ 96.54941  104.777435 100.168396],[183.8484  217.01236 265.14676],[193.6195  240.46147 243.29576],[189.2481  250.17288 211.51515],[188.8624  264.35324 186.7761 ]
25:[159.39214 178.71173 340.342  ],[196.67836  77.06345 255.78026],[212.43011   44.382053 231.74928 ],[221.53807   26.008299 218.32901 ],[228.86324   14.987472 203.99533 ],[151.13095   59.749023 242.31862 ],[152.43852  29.73862 210.83298],[153.17833   13.680216 192.33342 ],[153.79173     0.7677803 177.72302  ],[111.46887  67.63075 248.5263 ],[105.23654  70.87541 205.58089],[107.474236  93.90541  197.5022  ],[111.37851 112.26416 202.82047],[ 67.781075  91.062325 249.69421 ],[ 56.215508  67.921135 229.19283 ],[ 50.443783  57.08563  216.7216  ],[ 46.479954  50.05813  207.17415 ],[155.76831 180.87689 265.34888],[158.15501 174.83408 232.47656],[129.37416 157.70914 231.12491],[105.84378 146.84015 243.01772]
26:[115.33463  123.362816 404.371   ],[ 69.31222  96.05527 261.03244],[ 47.358574  87.73769  224.39182 ],[ 33.48944  83.23179 204.69417],[ 21.423183  79.70752  189.77586 ],[ 32.703243  83.09755  265.3307  ],[ 12.845318 119.41417  251.8977  ],[ 27.38002 131.07024 267.82037],[ 40.900715 127.51189  281.4255  ],[ 13.122963  78.12419  292.85315 ],[ -8.442827 112.26632  276.6386  ],[  2.1118937 128.84259   291.2837   ],[ 14.782611 130.02084  306.07    ],[-10.784782  82.21127  332.76355 ],[-28.444962  73.44537  306.28976 ],[-38.53911  73.108   291.99826],[-45.9129    75.141106 282.11163 ],[ 81.980835 157.14099  352.      ],[ 67.6467  168.47636 323.91364],[ 36.981678 158.62183  314.64148 ],[ 31.939507 140.56564  336.13107 ]
27:[106.89453 108.29706 451.278  ],[ 81.43329   45.204388 321.54877 ],[ 58.818283  43.802128 284.39673 ],[ 54.89919   60.117912 266.53366 ],[ 62.616333  77.99739  265.37576 ],[ 45.06626   41.132587 317.14545 ],[ 30.266283  57.308426 279.5558  ],[ 43.95051   72.573685 292.98587 ],[ 52.810192  71.26562  310.31693 ],[ 22.026066  49.158203 335.10648 ],[  5.3012447  52.183365  295.04642  ],[ 11.156059  75.79036  298.0604  ],[ 19.598259  81.66981  314.63544 ],[ -4.404667  68.55145  355.73447 ],[ -9.858041  83.01961  326.57083 ],[  4.970647  88.74045  333.89438 ],[ 10.843468  86.20917  344.63467 ],[114.595184  99.29839  382.4916  ],[118.551285  90.184395 350.49026 ],[122.90218  80.16129 318.80374],[133.24637  72.30384 293.41653]
28:[168.51573 169.70581 347.337  ],[210.89627  68.75761 264.09256],[226.91074   40.215668 235.412   ],[236.5559    25.322727 218.50566 ],[244.80116  14.7217  204.3563 ],[168.18248   54.384735 243.64629 ],[177.84645   22.937262 215.1622  ],[183.95003    6.957137 197.61127 ],[189.45863    -3.6319351 182.18085  ],[129.16612   63.843235 244.38211 ],[123.527054  36.01257  211.40735 ],[120.24099   19.838074 193.28993 ],[117.563324   6.695513 179.12398 ],[ 86.85983  88.89525 240.23727],[ 74.23651   67.568596 218.43338 ],[ 68.03185   57.131752 205.83073 ],[ 64.114265  50.588657 195.92659 ],[224.48758 151.18057 321.33826],[252.07483 135.65652 310.34967],[279.6158  119.91452 299.5279 ],[305.7134  109.75116 294.15445]
29:[107.0472 160.2663 391.863 ],[157.4859    59.489906 328.63806 ],[149.96394  48.73021 287.14917],[145.48187   61.273506 266.5766  ],[144.94106  80.72387 265.17593],[119.69368   32.554016 322.08023 ],[111.033424  28.610357 279.617   ],[107.96958   52.608643 275.6993  ],[111.12254   61.184753 292.93533 ],[ 83.75128  33.28392 329.31412],[ 76.70874   13.549847 291.17426 ],[ 71.430244   5.40067  268.67133 ],[ 66.267166    1.0145559 250.37718  ],[ 40.33331   45.506996 327.53925 ],[ 26.124622  20.297401 311.65927 ],[ 19.038954  10.160483 299.2783  ],[ 14.354057    4.8650565 288.96994  ],[116.30241 148.9555  323.1251 ],[126.56317 137.43134 293.38098],[120.38519 113.58128 270.65576],[108.611984  91.20827  257.46136 ]
30:[155.86209 151.83086 344.032  ],[201.78198   29.268295 316.01517 ],[220.78534    -6.1337357 299.30444  ],[231.71654  -25.831854 289.65323 ],[241.06746  -39.710056 279.62692 ],[163.08296   11.021141 286.7622  ],[176.70314   18.600815 246.13318 ],[180.30377  40.61869 256.27722],[176.14789   43.869423 275.05838 ],[126.39935   21.889244 272.18463 ],[131.57832    -3.4943485 237.21992  ],[135.97752  -15.579109 216.35707 ],[140.4172   -24.277473 199.46924 ],[ 87.97174   46.079697 248.45135 ],[ 77.27437   27.799038 223.134   ],[ 72.41816   18.317186 209.25006 ],[ 69.55842   11.708851 199.03226 ],[189.55087 126.59716 289.39774],[208.62984 107.15441 269.8843 ],[191.71788  85.57655 250.60193],[184.20644  64.48961 232.93356]
31:[156.58403 171.42506 365.905  ],[206.07784   90.403755 266.29776 ],[215.66487   70.170395 228.98315 ],[220.3241   61.43923 206.56192],[223.57846   56.274605 188.03339 ],[167.59677   63.818314 256.84912 ],[162.53108   32.379494 227.19075 ],[157.573     24.903923 204.38315 ],[152.61003   26.779514 185.61024 ],[130.20955  60.70263 268.4725 ],[120.28384  71.73953 227.56595],[120.205864  95.56206  233.32222 ],[124.18285  99.91238 251.9187 ],[ 85.1133   70.86893 276.9232 ],[ 82.31115  84.95295 247.2016 ],[ 91.259445  99.97243  247.97336 ],[ 97.60683 104.64379 257.67596],[168.19214 201.94293 296.00443],[178.48427 211.77649 265.67004],[188.71884 221.38037 235.23245],[197.54138 229.51488 209.36269]
32:[193.79408 166.89166 303.368  ],[112.81395  56.63527 275.87753],[124.41239  36.12061 239.2947 ],[142.46663  47.89661 227.63177],[149.41368  64.96075 234.04462],[ 76.11917  81.36717 242.20914],[ 86.71178  66.26466 202.79607],[107.12063   79.833885 202.70453 ],[110.11354  91.13539 218.32149],[ 65.30718  121.948616 224.41595 ],[ 54.231003  99.38887  188.89053 ],[ 75.28966 106.67702 178.68909],[ 87.374374 118.70795  188.1647  ],[ 66.93889 173.7119  198.9194 ],[ 45.716156 170.64928  173.82358 ],[ 35.048866 168.34628  160.14302 ],[ 27.500996 166.34924  150.3812  ],[206.9839  137.34962 237.69904],[207.91672 114.75293 212.97414],[180.82068 123.88849 195.48773],[158.11995 127.82587 178.68219]
33:[163.99731 162.95496 349.048  ],[212.86607  47.23752 302.07022],[214.00496   54.531998 259.18463 ],[208.78806  70.03751 240.9359 ],[202.12938   86.205475 232.28546 ],[171.4052    21.876434 297.66406 ],[180.92552  -12.193462 272.3207  ],[186.27568  -31.289505 257.92035 ],[190.48723 -46.2711  246.1566 ],[132.49202   26.510948 303.46207 ],[133.68335  -14.399555 288.67725 ],[134.14995  -36.726177 278.57983 ],[134.00052 -51.92034 266.3452 ],[ 87.43129   43.315933 299.26996 ],[ 78.331436  13.875313 287.43668 ],[ 73.70116    -1.1787653 279.8086   ],[ 70.56938  -11.423058 273.3667  ],[184.41199 137.93858 287.9564 ],[198.94142 119.42153 264.10654],[196.46599  91.81911 245.25432],[197.31339   68.513275 228.84175 ]
34:[164.4378  144.46559 375.503  ],[219.80942   58.652752 282.3818  ],[237.04678  75.46856 246.13568],[231.3442   95.39498 259.21512],[223.46227  95.17809 277.05887],[186.47371   51.467716 248.25525 ],[200.21649   24.639635 216.86943 ],[208.50676    8.623621 200.2739  ],[216.43527   -2.381796 186.25282 ],[152.38736  61.86025 240.3078 ],[154.85123   34.527893 206.53575 ],[157.68617   20.981188 186.30945 ],[160.61203   10.406556 170.17912 ],[115.762985  86.190674 229.74913 ],[109.48241  76.33007 198.87994],[106.5646    71.434784 182.3338  ],[104.836235  68.24936  170.37064 ],[205.89203 161.0558  320.0908 ],[229.0026  162.2282  295.85593],[225.63702 153.73845 263.6065 ],[228.93819 147.29681 236.02281]
35:[157.7702 189.0976 309.136 ],[187.77263  67.67607 248.57248],[202.76714  32.48671 227.82271],[211.3403   14.53648 213.50687],[ 2.1837560e+02 -5.2160263e-02  2.0263271e+02],[138.09914  50.67997 239.8421 ],[142.87354   11.029881 222.55757 ],[145.59256   -11.5387745 213.397    ],[147.77426  -29.641798 206.46219 ],[ 97.293    62.76368 245.12875],[ 86.32708   28.697193 220.37189 ],[ 79.84035   10.876768 204.84746 ],[ 74.40244    -2.4304419 191.65965  ],[ 52.754833  90.71535  242.82918 ],[ 54.728966 101.977646 211.8639  ],[ 63.956474 116.62371  214.4326  ],[ 67.390076 119.27737  226.15524 ],[148.39525 189.03793 234.525  ],[147.75835 180.19598 202.21066],[118.910515 163.17427  203.4321  ],[ 94.26119 149.0805  206.08331]
36:[184.55733 173.9207  302.264  ],[ 92.9704    69.105545 293.0695  ],[ 97.592384  44.54905  257.44232 ],[119.72426   53.601845 252.06827 ],[127.3264   67.60995 263.31778],[ 58.595314  92.78894  252.7727  ],[ 71.388535  74.821815 215.2601  ],[ 94.14717  83.30637 218.5327 ],[ 97.80246   93.767555 234.58803 ],[ 51.779343 132.1389   227.44846 ],[ 32.629276 110.78117  194.72534 ],[ 54.881638 110.40365  184.46165 ],[ 70.1877  119.04786 192.92174],[ 58.037094 180.57541  194.6957  ],[ 33.140995 179.86638  173.03316 ],[ 20.423971 178.45055  161.09477 ],[ 11.092611 177.24165  152.8658  ],[189.00566 135.16003 242.3399 ],[184.6807  109.38791 221.36626],[161.42754 106.98807 197.34627],[139.52751 120.2096  184.74341]
